objID,l,b,ra,dec,psfMag_u,psfMag_r,psfMag_i,psfMag_g,psfMag_z,psfMagErr_u,psfMagErr_r,psfMagErr_i,psfMagErr_g,psfMagErr_z,extinction_u,extinction_r,extinction_i,extinction_g,extinction_z
1237678877784670695,65.1800520279818,-29.9999724459935,324.69563143454,10.5603367617021,21.94405,18.65187,18.23985,19.74035,18.02161,0.1480479,0.01263403,0.01585248,0.01847498,0.02604367,0.2687357,0.1448599,0.1076464,0.2093971,0.08006918
1237680301568099244,90.2050369716448,-29.9999681788997,341.79383559895,24.8603564722521,23.9697,20.88674,19.79995,22.45963,19.25908,0.9386954,0.04592178,0.0301237,0.1025153,0.06686606,0.4194688,0.2261114,0.168025,0.3268473,0.1249798
1237680298881385457,80.8994873087838,-29.999965857313,334.714355069076,20.1510264773843,24.39827,22.5065,21.77182,23.05226,22.71933,0.9998673,0.1928709,0.1570722,0.178008,0.7533674,0.2821788,0.1521063,0.1130313,0.2198718,0.08407449
1237656242231248497,67.3228348175602,-29.9999649874914,325.929181781887,11.9674707759419,23.76594,21.78728,21.36632,22.45285,21.58669,0.5070521,0.05920809,0.05966543,0.07725953,0.2951275,0.3976271,0.2143378,0.1592759,0.3098283,0.118472
1237680272036463844,79.3128606481329,-29.999963609606,333.596056146912,19.2680274826498,24.68012,25.15872,21.84848,24.24196,24.11528,1.588658,0.9049121,0.2388723,0.539941,0.5568466,0.2374911,0.1280178,0.09513092,0.1850515,0.07075993
1237652942623540345,66.1337540340384,-29.9999627380738,325.239849496034,11.1900416791378,23.7082,21.23906,20.05014,22.97588,19.33664,0.8097432,0.05267621,0.03257728,0.1718285,0.0599381,0.3618917,0.1950749,0.1449616,0.2819836,0.1078248
1237678602903028923,73.0597592223316,-29.9999615342485,329.429956666723,15.5901168563292,23.40434,22.49067,22.03415,24.23265,22.45676,0.7386844,0.1720374,0.1939068,0.3808884,0.6776571,0.270932,0.1460438,0.1085262,0.2111083,0.08072353
1237680273110925592,81.3522831890241,-29.9999590745074,335.038155982547,20.3990404490902,24.80436,21.18047,19.69948,22.7636,18.84943,1.533378,0.07859183,0.03348892,0.1854858,0.04987156,0.317296,0.171036,0.1270981,0.2472349,0.0945376
1237680302642692763,92.5417507597721,-29.9999576444935,343.713121645552,25.9036193542751,23.29079,21.33697,20.24109,22.91757,19.87011,0.5826961,0.06987848,0.045268,0.1476668,0.1357844,0.573906,0.3093596,0.2298873,0.4471837,0.1709939
1237680091108016807,69.1543617634808,-29.9999573850909,327.014845131657,13.1476871052838,22.01954,25.02956,24.78945,25.0766,23.17566,0.287161,0.610261,0.5812913,0.528722,0.6056919,0.4603725,0.2481602,0.1844097,0.3587191,0.1371669
1237680298344251466,79.9985093256306,-29.999955130126,334.076206253099,19.6522526502398,17.50718,16.04264,15.91582,16.40893,15.86065,0.02553601,0.02099147,0.01252791,0.01498151,0.01985213,0.2187398,0.11791,0.08761976,0.1704406,0.06517301
1237680270962132278,77.5172549150802,-29.9999542023088,332.360789915819,18.243322862856,24.13279,23.006,21.17519,23.99378,20.17721,1.433137,0.325863,0.09803817,0.4836914,0.1593591,0.2561997,0.1381025,0.1026249,0.1996291,0.0763341
1237672763902461322,93.4913054560725,-29.9999530824312,344.509200874964,26.3100883787318,25.29384,22.0064,20.41769,23.5228,19.38958,0.65294,0.08569272,0.03634025,0.2028571,0.05052299,0.5462978,0.2944776,0.2188284,0.4256716,0.1627682
1237680268276990200,75.2651520989751,-29.9999520691271,330.856200016317,16.9216723432712,18.52103,15.68083,15.31315,16.45393,15.19506,0.0276955,0.007023952,0.01601748,0.009683249,0.01732997,0.2345951,0.1264567,0.09397088,0.1827949,0.06989707
1237680092182349172,71.0606956337088,-29.9999465800689,328.176390342398,14.3529300779797,22.63567,21.15098,19.73621,22.63495,18.9317,0.2784585,0.04644313,0.02357833,0.1028753,0.04347748,0.3723363,0.200705,0.1491453,0.2901219,0.1109367
1237672815973893136,93.7350859335649,-29.9999464270839,344.715072017116,26.4127777303219,24.2852,22.64668,21.96774,24.10762,21.86458,1.016719,0.1935698,0.1605275,0.4364818,0.5281949,0.4531289,0.2442556,0.1815081,0.3530749,0.1350087
1237666246295945553,88.4261118006254,-29.9999442290992,340.370812779765,24.0265816349491,24.63488,24.80208,21.81932,22.84831,22.82653,1.978651,0.9342023,0.2533823,0.188963,0.8363946,0.2079119,0.1120733,0.08328246,0.1620035,0.06194685
1237656241694180694,66.5883787040545,-29.9999438496185,325.501964732426,11.4883100748484,24.45989,22.20643,22.02723,23.11055,21.61275,0.6192924,0.08307572,1.056774,0.1410695,0.2701354,0.3449012,0.1859163,0.1381557,0.2687447,0.1027625
1237678602903028524,73.030377785222,-29.999943116253,329.411251141337,15.5721502630396,23.90901,21.63865,21.19234,22.44869,21.22934,1.01998,0.08170428,0.09203943,0.09431663,0.9770553,0.2759896,0.14877,0.1105521,0.2150492,0.08223045
1237666433114965021,83.8175634128095,-29.9999414845959,336.837851235806,21.7171806291528,24.12033,21.14633,20.50196,22.6817,20.1239,0.6987681,0.04241857,0.03880828,0.1018833,0.09857614,0.1956689,0.1054738,0.07837834,0.1524639,0.05829908
1237680305325933403,89.3779000651864,-29.9999390853003,341.128059589728,24.4768556272414,23.27582,20.13293,18.87671,21.6952,18.13479,0.5878048,0.02955595,0.01911671,0.05770859,0.03156268,0.2951247,0.1590847,0.118217,0.2299592,0.08793172
1237680272036528375,79.3600205081786,-29.9999385628643,333.62891385585,19.294600535336,21.52733,18.53077,18.14127,19.51701,17.96452,0.272799,0.01826033,0.01699275,0.01862043,0.03243034,0.2412672,0.1300532,0.09664349,0.1879938,0.071885
1237656242231314153,67.3931159787695,-29.9999385032809,325.97028366689,12.0131667557476,23.35241,23.0739,22.98059,24.34938,22.64369,0.3909153,0.1683964,0.2217734,0.3369244,0.502441,0.4628469,0.2494941,0.1854008,0.3606472,0.1379042
1237680305863328741,90.8721467348008,-29.9999336757461,342.335966916322,25.1643498888823,24.06783,24.22291,21.47993,25.16717,23.03696,1.000054,0.6506382,0.1207873,0.5681058,0.8767253,0.6814966,0.3673554,0.2729845,0.5310175,0.2030503
1237680302105428525,91.4133245423827,-29.9999334250885,342.779178262282,25.4073668349189,22.04803,24.51286,24.14304,25.69633,23.20535,0.2505075,0.7270421,0.7852081,0.4742128,0.82394,0.5571306,0.300317,0.2231677,0.4341124,0.1659957
1237672817047634667,94.5287797730718,-29.9999314894832,345.389557748615,26.7423183281332,22.85295,20.74039,20.20951,22.06284,19.87897,0.3510942,0.04015446,0.03957734,0.08496691,0.09370243,0.2499038,0.1347087,0.100103,0.1947234,0.07445826
1237680091108083154,69.1916464124627,-29.9999272065967,327.037229050346,13.1715101625426,22.93323,22.57167,22.89637,23.89387,22.04223,0.4312598,0.2584324,0.285631,0.2997814,0.4549135,0.4719205,0.2543851,0.1890354,0.3677173,0.1406076
