objID,ra,dec,l,b,psfMag_u,psfMag_r,psfMag_i,psfMag_g,psfMag_z,psfMagErr_u,psfMagErr_r,psfMagErr_i,psfMagErr_g,psfMagErr_z,extinction_u,extinction_r,extinction_i,extinction_g,extinction_z,specObjID,loggadop,loggadopunc,fehadop,fehadopunc,elodiervfinal,elodiervfinalerr,SNR
1237666430965255008,305.548805978638,14.6448821052221,56.8117968113957,-12.5245618842423,20.34577,18.15458,17.77193,18.81348,17.59561,0.05332973,0.05201977,0.007267163,0.02725803,0.02297273,0.6314556,0.3403813,0.2529398,0.4920259,0.1881407,2541244661029169152,3.365943,0.05461965,-0.6113762,0.03744562,-22.36382,2.383825,27.86136
1237666430965383603,305.764509256361,14.6964199183607,56.9719753288623,-12.6720854170437,19.11026,18.17261,18.39686,17.97682,18.36235,0.02686753,0.04402759,0.01633213,0.02676054,0.05227085,0.4963275,0.2675415,0.198812,0.3867351,0.1478796,2541246860052424704,3.123306,0.2918376,-1.756301,0.0567,-187.7359,4.004777,31.48909
1237666430965449487,305.911409873963,14.804801371245,57.1443216379159,-12.7325858804557,20.70774,19.38708,19.28774,19.71095,19.26371,0.2674666,0.7792305,0.8162926,0.8147291,0.6478863,0.475283,0.2561976,0.1903823,0.3703372,0.1416094,2541260603947771904,3.402835,0.2644963,-2.141571,0.05884285,-146.0182,9.90192,12.44339
1237666430966565341,308.470080010324,15.6349757760786,59.2574649892508,-14.3338645096271,21.30922,20.10103,20.03235,20.28916,20.22526,0.1065122,0.02953481,0.09566132,0.01765856,0.2616872,0.4725401,0.2547191,0.1892836,0.3682001,0.1407922,2542371122704312320,3.498923,0.07970143,-1.1376,0.09400874,-9999,-9999,14.06841
1237666430966630000,308.548955158749,15.683323644861,59.3427359995002,-14.3696580927847,20.54992,18.70614,18.39543,19.2717,18.3017,0.0592889,0.01052447,0.01854089,0.01856338,0.03283731,0.4806994,0.2591173,0.1925519,0.3745578,0.1432233,2542385966111287296,2.767852,0.1341253,-1.407272,0.04265925,-458.5339,3.258272,28.04168
1237666430966827421,309.043654366098,15.8372855078567,59.7509000654298,-14.6766702868554,21.10601,19.79756,19.73114,19.9913,19.53048,0.09093838,0.01851429,0.05044166,0.06633817,0.08886729,0.3836206,0.2067878,0.1536655,0.2989146,0.1142989,2542394487326402560,2.997364,0.5016059,-0.8477681,0.0329,-100.9715,8.487309,14.02276
1237666430967024165,309.477922484443,16.1179959528043,60.2346026366129,-14.8619677113086,20.22437,19.03924,18.8728,19.13435,18.80428,0.04800137,0.01736598,0.06637859,0.02260292,0.06134761,0.381553,0.2056732,0.1528372,0.2973035,0.1136828,2542403283419424768,2.601724,0.5850392,-2.032504,0.054,-150.5763,5.450149,24.80399
1237666430967024208,309.529118540045,15.9903821967751,60.1547879510554,-14.9749177611166,20.61798,19.59963,19.35734,19.78222,19.16291,0.06322777,0.03879274,0.08335156,0.03069738,0.07781808,0.3818545,0.2058357,0.152958,0.2975385,0.1137727,2542427472675235840,2.608382,0.4922667,-2.541094,0.02151215,-79.1865,9.170572,16.09331
1237666430967154359,309.73795739089,16.0559421525304,60.3287794509437,-15.1028007397406,20.93055,19.79184,19.78353,20.15984,19.57122,0.08417235,0.01813525,0.03002225,0.03000133,0.09306734,0.3487542,0.1879933,0.1396991,0.2717469,0.1039105,2542426648041515008,3.162042,1.036389,-2.060907,0.3109832,-206.3692,11.76354,12.15021
1237666430968268531,312.258529564153,16.9633004667827,62.5511700598554,-16.5491605762092,19.40253,18.13435,18.0295,18.46509,17.9598,0.03079974,0.01462954,0.05662167,0.009865659,0.02479678,0.3452305,0.1860938,0.1382877,0.2690013,0.1028606,2543530819792693248,3.398325,0.1578345,-2.003139,0.07584354,-2.541649,5.384831,24.07281
1237666432575996305,331.827874132682,20.407389645817,78.7325724942524,-28.048810201861,21.03486,19.25944,18.98563,19.80981,18.84154,0.07109372,0.01752431,0.01694783,0.01797854,0.04240004,0.3066854,0.1653164,0.1228478,0.2389672,0.0913762,2544589650714978304,2.28718,0.7342037,-1.639049,0.1107,-181.0435,10.63955,11.60262
